,Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors,Year,Casualty_count,Fatality_rate,Vehicle_crash_ratio
409,Q3 2023,Akwa Ibom,8,14,3,10,9,0,0,0,1,2023,17,0.375,1.25
410,Q3 2023,Anambra,34,90,19,42,14,0,0,0,28,2023,109,0.5588235294117647,1.2352941176470589
411,Q3 2023,Bauchi,51,159,16,57,36,0,0,0,21,2023,175,0.3137254901960784,1.1176470588235294
412,Q3 2023,Bayelsa,5,2,0,7,6,0,0,0,1,2023,2,0.0,1.4
413,Q3 2023,Benue,55,176,13,57,44,0,0,0,13,2023,189,0.23636363636363636,1.0363636363636364
414,Q3 2023,Borno,28,93,17,26,8,0,0,0,18,2023,110,0.6071428571428571,0.9285714285714286
415,Q3 2023,Cross River,18,25,12,21,10,0,0,0,11,2023,37,0.6666666666666666,1.1666666666666667
416,Q3 2023,Delta,30,63,15,42,17,0,0,0,25,2023,78,0.5,1.4
417,Q3 2023,Ebonyi,19,39,10,18,12,0,0,0,6,2023,49,0.5263157894736842,0.9473684210526315
418,Q3 2023,Edo,33,79,16,61,40,0,0,0,21,2023,95,0.48484848484848486,1.8484848484848484
419,Q3 2023,Ekiti,29,53,23,50,28,1,0,0,21,2023,76,0.7931034482758621,1.7241379310344827
420,Q3 2023,Enugu,32,96,31,36,18,0,0,0,18,2023,127,0.96875,1.125
421,Q3 2023,Fct,349,607,82,511,278,2,1,1,229,2023,689,0.2349570200573066,1.4641833810888252
422,Q3 2023,Gombe,40,140,11,40,17,0,0,0,23,2023,151,0.275,1.0
423,Q3 2023,Imo,20,107,10,20,9,0,0,0,11,2023,117,0.5,1.0
424,Q3 2023,Jigawa,64,217,21,120,89,0,1,0,30,2023,238,0.328125,1.875
425,Q3 2023,Kaduna,117,481,82,115,71,0,0,4,40,2023,563,0.7008547008547008,0.9829059829059829
426,Q3 2023,Kano,43,132,24,52,25,0,0,0,27,2023,156,0.5581395348837209,1.2093023255813953
427,Q3 2023,Katsina,18,78,13,33,17,0,1,0,15,2023,91,0.7222222222222222,1.8333333333333333
428,Q3 2023,Kebbi,10,14,0,10,10,0,0,0,0,2023,14,0.0,1.0
429,Q3 2023,Kogi,96,355,52,112,21,0,0,0,91,2023,407,0.5416666666666666,1.1666666666666667
430,Q3 2023,Kwara,73,222,51,110,30,0,0,0,80,2023,273,0.6986301369863014,1.5068493150684932
431,Q3 2023,Lagos,106,164,34,110,56,1,0,0,53,2023,198,0.32075471698113206,1.0377358490566038
432,Q3 2023,Nasarawa,162,411,37,220,113,1,1,0,105,2023,448,0.22839506172839505,1.3580246913580247
433,Q3 2023,Niger,101,382,56,138,98,1,0,2,37,2023,438,0.5544554455445545,1.3663366336633664
434,Q3 2023,Ogun,212,584,82,396,262,0,0,0,134,2023,666,0.3867924528301887,1.8679245283018868
435,Q3 2023,Ondo,68,161,44,102,68,0,0,4,30,2023,205,0.6470588235294118,1.5
436,Q3 2023,Osun,67,239,41,95,59,0,0,0,36,2023,280,0.6119402985074627,1.4179104477611941
437,Q3 2023,Oyo,118,332,45,160,106,0,0,0,54,2023,377,0.3813559322033898,1.3559322033898304
438,Q3 2023,Plateau,44,100,4,50,32,0,0,0,18,2023,104,0.09090909090909091,1.1363636363636365
439,Q3 2023,Rivers,13,49,3,21,11,0,0,0,10,2023,52,0.23076923076923078,1.6153846153846154
440,Q3 2023,Sokoto,15,36,11,24,14,0,0,0,10,2023,47,0.7333333333333333,1.6
441,Q3 2023,Taraba,24,79,0,28,8,0,0,0,20,2023,79,0.0,1.1666666666666667
442,Q3 2023,Yobe,28,93,12,33,11,0,0,0,22,2023,105,0.42857142857142855,1.1785714285714286
443,Q3 2023,Zamfara,10,38,1,13,8,0,0,0,5,2023,39,0.1,1.3
444,Q4 2023,Abia,26,159,14,31,13,1,0,0,17,2023,173,0.5384615384615384,1.1923076923076923
